product_id,product_name,category,sub_category,author_name,publisher_name,unit_price,cost_price,supplier_id,stock_quantity,launch_date,format,language,page_count,reader_group,best_seller_score
P00061,Web Development Workbook Pro,Programming,Web Development,Sabbir Islam,Bright Publishing House,1197.06,716.64,S00901,618,2021-10-04 12:06:00,Paperback,Bangla,202,Young,0.319
P00062,Thriller Workbook,Fiction,Thriller,Touhid Sarker,Global Trade Group,850.87,471.06,S00561,315,2024-08-18 20:43:00,Ebook,English,650,Young,0.275
P00063,Machine Learning Complete Edition,Programming,Machine Learning,Jalal Rahman,Royal Logistics,833.27,638.26,S00438,416,2019-05-07 14:22:00,Ebook,Bangla,794,Professional,0.64
P00064,Data Science Simplified Series,Programming,Data Science,Riaz Sarker,Green Books Ltd,661.67,520.67,S00799,228,2022-12-01 09:39:00,Paperback,English,191,Professional,0.255
P00065,Finance Essentials,Business,Finance,Mohiuddin Hossain,Royal Enterprises,1123.11,744.83,S00095,57,2021-03-31 17:29:00,Hardcover,English,394,Young,0.918
P00066,Productivity Essentials,Self Help,Productivity,Kamal Chowdhury,Delta Publishing House,570.33,412.5,S00797,111,2022-09-10 06:44:00,Hardcover,English,486,Young,0.392
P00067,Bank Jobs Masterclass Edition,Exam Prep,Bank Jobs,Rumana Ahmed,Bright Enterprises,1062.59,808.06,S00263,103,2023-10-08 12:29:00,Ebook,Bangla,422,Young,0.52
P00068,Mathematics Masterclass Practice,Academic,Mathematics,Jalal Rahman,Delta Enterprises,324.27,225.94,S00055,24,2022-08-12 23:34:00,Ebook,Bangla,439,Young,0.697
P00069,Short Stories Masterclass,Fiction,Short Stories,Riaz Ahmed,Metro Supply Co,771.97,545.33,S00646,294,2024-11-01 12:31:00,Hardcover,Bangla,84,Young,0.832
P00070,Mathematics Complete Series,Academic,Mathematics,Touhid Islam,Ocean Distributors,1104.1,902.27,S00316,462,2024-07-27 07:00:00,Paperback,Bangla,836,Young,0.519
P00071,Teacher Recruitment Simplified Edition,Exam Prep,Teacher Recruitment,Jalal Rahman,Delta Enterprises,411.59,284.95,S00318,426,2026-05-05 14:24:00,Paperback,English,681,Young,0.308
P00072,Classic Masterclass,Fiction,Classic,Touhid Rahman,Green Logistics,547.18,438.14,S00895,448,2020-06-12 21:42:00,Ebook,Bangla,185,Kids,0.945
P00073,Data Science Simplified Edition,Programming,Data Science,Rumana Sarker,Royal Logistics,802.84,571.59,S00012,506,2021-03-18 04:34:00,Ebook,Bangla,327,Young,0.409
P00074,Artists Workbook,Biography,Artists,Ferdous Ahmed,Royal Supply Co,452.87,319.21,S00867,541,2026-02-13 01:44:00,Ebook,Bangla,160,Kids,0.83
P00075,Communication Guide,Self Help,Communication,Ferdous Rahman,National Books Ltd,228.78,167.63,S00066,284,2020-03-16 17:48:00,Paperback,Bangla,423,Elderly,0.321
P00076,Chemistry Essentials Pro,Academic,Chemistry,Mohiuddin Sarker,Bright Enterprises,709.89,576.43,S00621,525,2022-12-07 09:08:00,,Bangla,167,Young,0.316
P00077,Physics Essentials Edition,Academic,Physics,Rashid Sarker,Eastern Logistics,408.89259903732477,307.28,S00171,463,2021-07-31 02:51:00,Hardcover,Bangla,398,Young,0.2
P00078,Bcs Complete Series,Exam Prep,Bcs,Rumana Ahmed,Ocean Books Ltd,576.28,395.74,S00452,292,2022-12-08 16:09:00,Paperback,English,524,Kids,0.53
P00079,Bcs Handbook Edition,Exam Prep,Bcs,Riaz Khan,Metro Distributors,836.65,462.74,S00574,613,2025-04-22 15:46:00,Paperback,Bangla,538,Young,0.936
P00080,Algorithms Handbook Edition,Programming,Algorithms,Kamal Khan,Royal Books Ltd,338.42,247.46,S00650,433,2020-05-29 14:12:00,Ebook,Bangla,434,Professional,0.44
P00081,Coloring Books Guide,Children,Coloring Books,Shahana Khan,National Books Ltd,273.3,199.1,S00856,384,2022-10-14 14:20:00,Ebook,Bangla,106,Professional,0.211
P00082,Bank Jobs Masterclass Pro,Exam Prep,Bank Jobs,Naila Sarker,National Publishing House,1033.26,455.9116783248949,S00555,175,2022-03-18 19:33:00,Paperback,Bangla,326,Professional,0.649
P00083,Classic Handbook,Fiction,Classic,Naila Hossain,Global Books Ltd,429.27,333.58,S00029,194,2020-08-30 23:41:00,Paperback,Bangla,769,Young,0.328
P00084,Web Development Essentials Practice,Programming,Web Development,Jalal Islam,Global Enterprises,760.03,536.45,S00438,579,2021-05-13 17:08:00,Hardcover,English,395,Kids,0.575
P00085,Scientists Workbook,Biography,Scientists,Sabbir Uddin,Prime Supply Co,639.17,483.1,S00398,633,2022-09-06 11:44:00,Ebook,English,803,Professional,0.998
P00086,Physics Essentials Series,Academic,Physics,Touhid Sarker,Ocean Distributors,319.21,207.76,S00488,149,2020-05-30 14:25:00,Ebook,Bangla,34,Young,0.479
P00087,Databases Handbook Practice,Programming,Databases,Naila Khan,Ocean Enterprises,667.12,519.29,S00042,331,2024-04-22 17:38:00,Paperback,Bangla,179,Young,0.575
P00088,Accounting Essentials,Business,Accounting,Kamal Khan,Royal Enterprises,360.88,238.92,S00707,484,2019-06-25 12:08:00,Ebook,Bangla,127,Young,0.625
P00089,Bank Jobs Guide Edition,Exam Prep,Bank Jobs,Ferdous Hossain,Delta Supply Co,855.21,582.58,S00355,60,2021-08-22 23:48:00,Ebook,Bangla,246,Young,0.436
P00090,Classic Masterclass,Fiction,Classic,Mala Rahman,Royal Books Ltd,212.86,124.39,S00315,102,2026-04-07 01:53:00,Paperback,Bangla,506,Elderly,0.529
P00091,University Admission Simplified Practice,Exam Prep,University Admission,Kamal Sarker,Eastern Enterprises,486.61,371.75,S00782,424,2019-05-21 14:38:00,Ebook,English,602,Young,0.954
P00092,Mystery Simplified,Fiction,Mystery,Shahana Sarker,Royal Distributors,902.98,665.67,S00343,75,2020-03-04 13:56:00,Ebook,English,327,Professional,0.305
P00093,Databases Complete Pro,Programming,Databases,Naila Ahmed,Prime Publishing House,1003.0,583.19,S00407,352,2021-04-26 04:48:00,Ebook,Bangla,663,Professional,0.758
P00094,Marketing Essentials,Business,Marketing,Sabbir Islam,Ocean Distributors,1315.52,903.91,S00167,472,2026-03-20 10:05:00,,Bangla,792,Young,0.385
P00095,Prayer Guides Complete,Religious,Prayer Guides,Rashid Sarker,Metro Enterprises,340.77,242.08,S00035,144,2021-10-31 21:59:00,Hardcover,English,260,Professional,0.994
P00096,University Admission Simplified Practice,Exam Prep,University Admission,Rumana Hossain,Prime Books Ltd,1140.56,455.9914491756703,S00782,338,2025-12-31 12:35:00,Paperback,Bangla,422,Young,0.687
P00097,Prayer Guides Workbook,Religious,Prayer Guides,Sultana Chowdhury,Bright Enterprises,562.36,456.2354599719629,S00401,108,2024-11-09 09:05:00,Paperback,English,32,Professional,0.445
P00098,Leadership Simplified,Self Help,Leadership,Shahana Khan,Delta Supply Co,983.04,673.27,S00903,516,2025-11-02 03:18:00,,English,601,Young,0.463
P00099,Coloring Books Essentials,Children,Coloring Books,Kamal Khan,Ocean Distributors,318.87,201.67,S00076,307,2021-08-20 18:33:00,Hardcover,Bangla,643,Young,0.772
P00100,Prayer Guides Handbook,Religious,Prayer Guides,Riaz Chowdhury,Metro Enterprises,867.29,485.13,S00192,617,2022-01-14 20:24:00,Ebook,English,540,Professional,0.872
P00101,Fiqh Simplified,Religious,Fiqh,Jalal Khan,Global Trade Group,264.28,146.88,S00675,24,2019-10-24 00:07:00,Hardcover,Bangla,382,Young,0.654
P00102,Adventure Guide,Fiction,Adventure,Riaz Uddin,Eastern Distributors,457.22,315.19,S00242,347,2022-10-24 19:42:00,Ebook,Bangla,494,Kids,0.463
P00103,Biology Complete Pro,Academic,Biology,Anika Hossain,Delta Books Ltd,801.55,447.13,S00720,63,2021-05-10 22:19:00,Ebook,Bangla,450,Elderly,0.207
P00104,Physics Masterclass Series,Academic,Physics,Ferdous Hossain,Green Enterprises,800.11,538.98,S00848,18,2021-02-26 08:11:00,Paperback,English,224,Young,0.751
P00105,Accounting Guide,Business,Accounting,Anika Khan,Green Publishing House,449.0903116386588,269.08,S00039,252,2020-03-07 04:46:00,Ebook,Bangla,259,Young,0.639
P00106,Romance Complete,Fiction,Romance,Rumana Uddin,Green Distributors,928.59,727.05,S00933,488,2021-04-27 12:03:00,Paperback,Bangla,201,Professional,0.702
P00107,Prayer Guides Essentials,Religious,Prayer Guides,Amin Hossain,Eastern Books Ltd,743.81,535.31,S00132,499,2022-10-06 16:55:00,Ebook,Bangla,160,Professional,0.448
P00108,Activity Books Handbook,Children,Activity Books,Anika Rahman,Delta Logistics,241.26,195.46,S00937,114,2019-01-02 20:38:00,Paperback,English,207,Young,0.782
P00109,Python Simplified Series,Programming,Python,Touhid Uddin,Global Enterprises,397.12,303.54,S00179,559,2023-03-20 15:41:00,Ebook,Bangla,241,Young,0.516
P00110,Admission Test Masterclass Practice,Exam Prep,Admission Test,Kamal Sarker,National Publishing House,995.55,562.1,S00767,264,2020-09-13 08:54:00,Hardcover,English,60,Young,0.36
P00111,Leaders Essentials,Biography,Leaders,Mala Khan,Ocean Logistics,233.65,177.88,S00822,480,2026-03-02 08:17:00,Paperback,Bangla,530,Young,0.274
P00112,Bcs Guide Pro,Exam Prep,Bcs,Rumana Hossain,Ocean Distributors,846.42,603.56,S00402,495,2020-04-16 19:15:00,Ebook,Bangla,648,Professional,0.511
P00113,Communication Masterclass,Self Help,Communication,Riaz Rahman,Global Trade Group,229.76,179.25,S00737,483,2020-03-30 23:40:00,Paperback,English,635,Professional,0.566
P00114,Adventure Essentials,Fiction,Adventure,Sultana Ahmed,Royal Logistics,304.82,205.82,S00645,276,2019-01-07 18:47:00,Ebook,Bangla,48,Young,0.882
P00115,Mystery Masterclass,Fiction,Mystery,Riaz Ahmed,Metro Trade Group,813.93,566.07,S00256,554,2024-08-13 11:39:00,Ebook,Bangla,54,Elderly,0.893
P00116,University Admission Workbook Edition,Exam Prep,University Admission,Shahana Chowdhury,Prime Books Ltd,742.32,459.95,S00411,611,2021-03-19 22:13:00,Ebook,English,306,Young,0.893
P00117,Teacher Recruitment Complete Edition,Exam Prep,Teacher Recruitment,Kamal Chowdhury,Royal Logistics,341.87,261.88,S00527,256,2024-02-02 02:08:00,Ebook,Bangla,119,Elderly,0.674
P00118,Bangla Literature Simplified Pro,Academic,Bangla Literature,Rashid Ahmed,Delta Distributors,860.36,615.96,S00203,592,2019-03-21 07:40:00,Ebook,Bangla,156,Professional,0.633
P00119,Chemistry Handbook Edition,Academic,Chemistry,Mala Rahman,Bright Enterprises,1150.55,941.07,S00421,49,2023-07-28 01:33:00,Ebook,Bangla,536,Young,0.915
P00120,Adventure Handbook,Fiction,Adventure,Rumana Sarker,Ocean Books Ltd,440.81,253.74,S00089,305,2021-01-29 05:00:00,Paperback,Bangla,633,Professional,0.394
P00121,Artists Guide,Biography,Artists,Naila Chowdhury,Delta Logistics,506.98,385.2,S00325,62,2023-12-01 22:23:00,Paperback,,556,Young,0.601
P00122,Activity Books Simplified,Children,Activity Books,Kamal Ahmed,Delta Books Ltd,146.91,120.26,S00598,216,2024-10-30 17:04:00,Ebook,Bangla,797,Professional,0.312
P00123,Leadership Simplified,Self Help,Leadership,Anika Sarker,Royal Logistics,439.62,278.35,S00651,330,2021-05-04 01:12:00,Paperback,English,572,Professional,0.903
P00124,Habit Building Essentials,Self Help,Habit Building,Jalal Rahman,National Enterprises,985.22,789.5,S00847,447,2020-08-28 07:48:00,Hardcover,Bangla,798,Young,0.467
P00125,Adventure Complete,Fiction,Adventure,Anika Uddin,Bright Enterprises,390.68,241.33,S00637,113,2024-01-15 04:24:00,Ebook,Bangla,705,Professional,0.973
P00126,Physics Handbook Series,Academic,Physics,Riaz Chowdhury,Bright Enterprises,984.18,591.58,S00712,96,2024-01-11 01:49:00,Hardcover,English,248,Professional,0.647
P00127,Quran Studies Complete,Religious,Quran Studies,Jalal Rahman,Eastern Books Ltd,743.28,466.93,S00551,562,2019-04-04 20:11:00,Hardcover,English,615,Professional,0.65
P00128,Coloring Books Complete,Children,Coloring Books,Jalal Rahman,Green Supply Co,289.91,203.88,S00801,141,2019-06-15 05:58:00,Paperback,Bangla,504,Young,0.366
P00129,Rhymes Essentials,Children,Rhymes,Sultana Rahman,Green Supply Co,385.4,248.19622032871902,S00827,406,2019-01-19 11:57:00,Paperback,Bangla,414,Professional,0.673
P00130,Writers Guide,Biography,Writers,Rumana Sarker,Royal Publishing House,892.38,728.34,S00830,176,2023-06-05 17:03:00,Ebook,Bangla,741,Elderly,0.793
P00131,Python Essentials Edition,Programming,Python,Mala Khan,Royal Logistics,634.92,383.21,S00562,202,2021-07-25 06:33:00,Hardcover,Bangla,158,Young,0.454
P00132,Finance Workbook,Business,Finance,Amin Uddin,Prime Supply Co,660.47,414.5,S00925,557,2021-06-09 14:42:00,Hardcover,Bangla,711,Elderly,0.586
P00133,Adventure Masterclass,Fiction,Adventure,Mohiuddin Chowdhury,Metro Logistics,649.56,369.18,S00636,619,2022-08-12 02:57:00,Ebook,Bangla,565,Elderly,0.322
P00134,Bcs Essentials Series,Exam Prep,Bcs,Riaz Uddin,Global Supply Co,558.57,348.75,S00369,158,2020-10-25 11:37:00,Ebook,Bangla,612,Young,0.772
P00135,Bank Jobs Essentials Edition,Exam Prep,Bank Jobs,Amin Islam,Eastern Distributors,921.45,739.29,S00412,511,2025-12-05 13:11:00,,English,178,Kids,0.333
P00136,Fiqh Workbook,Religious,Fiqh,Sabbir Sarker,Bright Books Ltd,801.49,521.14,S00260,284,2022-03-23 12:24:00,Hardcover,,156,Professional,0.229
P00137,Quran Studies Guide,Religious,Quran Studies,Rumana Rahman,Global Trade Group,489.05,269.45,S00913,193,2024-07-25 02:51:00,Hardcover,English,163,Young,0.74
P00138,Fiqh Masterclass,Religious,Fiqh,Rashid Chowdhury,Delta Distributors,261.46,174.92,S00951,320,2025-09-08 00:05:00,Hardcover,Bangla,544,Young,0.949
P00139,Romance Masterclass,Fiction,Romance,Naila Hossain,Eastern Books Ltd,302.65,191.91,S00973,154,2025-05-25 15:46:00,Ebook,Bangla,596,Kids,0.669
P00140,Machine Learning Guide Series,Programming,Machine Learning,Sultana Ahmed,Metro Publishing House,1092.16,768.61,S00475,620,2019-07-02 10:07:00,Paperback,Bangla,419,Young,0.306
P00141,Finance Masterclass,Business,Finance,Anika Sarker,Metro Trade Group,1143.82,784.27,S00294,324,2023-12-24 10:00:00,,Bangla,34,Elderly,0.699
P00142,Activity Books Masterclass,Children,Activity Books,Jalal Khan,Delta Enterprises,141.01,92.5,S00749,171,2025-01-27 22:23:00,Ebook,English,300,Professional,0.483
P00143,Physics Masterclass Series,Academic,Physics,Jalal Hossain,National Enterprises,495.44,383.24,S00197,625,2021-05-25 05:03:00,Paperback,Bangla,642,Young,0.454
P00144,Classic Workbook,Fiction,Classic,Mala Uddin,Global Trade Group,727.41,462.62,S00298,482,2023-01-24 04:17:00,Hardcover,Bangla,521,Young,0.966
P00145,Data Science Guide Practice,Programming,Data Science,Sultana Islam,Green Logistics,1156.72,742.34,S00455,537,2024-12-17 18:44:00,Hardcover,Bangla,129,Professional,0.383
P00146,Web Development Masterclass Edition,Programming,Web Development,Sultana Uddin,Eastern Books Ltd,966.92,540.09,S00007,148,2020-04-07 09:45:00,Ebook,Bangla,175,Young,0.297
P00147,Activity Books Essentials,Children,Activity Books,Naila Sarker,Bright Enterprises,374.26,262.77,S00061,559,2024-09-23 08:29:00,Hardcover,English,379,Young,0.463
P00148,Bank Jobs Guide Edition,Exam Prep,Bank Jobs,Sultana Chowdhury,Prime Trade Group,318.18,218.99,S00021,317,2020-03-15 00:27:00,Ebook,Bangla,278,Young,0.278
P00149,Story Books Simplified,Children,Story Books,Anika Rahman,National Books Ltd,217.71,135.22,S00383,561,2021-12-18 08:25:00,Ebook,English,771,Professional,0.583
P00150,Chemistry Masterclass Pro,Academic,Chemistry,Jalal Ahmed,Royal Books Ltd,1056.18,632.26,S00126,131,2021-12-17 06:26:00,Hardcover,Bangla,239,Elderly,0.68
P00151,Machine Learning Complete Practice,Programming,Machine Learning,Shahana Chowdhury,Bright Supply Co,918.22,543.35,S00160,41,2022-07-27 12:41:00,Ebook,English,347,Kids,0.705
P00152,Mathematics Masterclass Practice,Academic,Mathematics,Sultana Sarker,Metro Logistics,609.52,462.98,S00084,601,2022-11-08 20:57:00,Paperback,Bangla,408,Young,0.431
P00153,Algorithms Guide Pro,Programming,Algorithms,Touhid Chowdhury,Global Trade Group,606.11,475.34,S00901,649,2023-09-14 15:28:00,Ebook,English,278,Young,0.807
P00154,Habit Building Handbook,Self Help,Habit Building,Touhid Uddin,Eastern Trade Group,459.06,285.79,S00957,35,2022-12-11 02:36:00,Paperback,Bangla,813,Young,0.88
P00155,Data Science Simplified Practice,Programming,Data Science,Riaz Khan,Eastern Enterprises,1059.71,695.0,S00648,131,2021-02-17 15:06:00,Paperback,English,611,Professional,0.922
