sales_id,supplier_id,customer_id,product_id,store_id,sales_date,quantity,unit_price,discount,total_amount,payment_method,sales_channel,reader_group,category
SLS000023,S00728,C00370,P00807,ST00441,2025-09-04,2,447.05,0.17,742.1,Bkash,Online,Young,Fiction
SLS000024,S00964,C00869,P00976,ST00830,2024-09-05,4,347.48,0.04,1334.32,Cash,App,Young,Religious
SLS000025,S00205,C00464,P00380,ST00961,2026-04-18,2,517.17,0.18,848.16,Card,Online,Professional,Exam Prep
SLS000026,S00867,C00851,P00074,ST00048,2025-02-09,4,452.87,0.04,1739.02,Cash,App,Young,Biography
SLS000027,S00935,C00903,P00750,ST00097,2025-07-07,1,335.88,0.07,312.37,Card,In-Store,Young,Fiction
SLS000028,S00712,C00460,P00126,ST00899,2025-10-05,3,984.18,0.07,2745.86,Nagad,In-Store,Young,Academic
SLS000029,S00525,C00176,P00439,ST00093,2025-08-06,2,347.26,0.15,590.34,Rocket,Online,Professional,Exam Prep
SLS000030,S00358,C00189,P00742,ST00709,2025-05-19,3,993.81,0.1,2683.29,Nagad,Online,Young,Business
SLS000031,S00918,C00286,P00557,ST00535,2025-10-16,1,782.01,0.01,774.19,Card,App,Professional,Exam Prep
SLS000032,S00280,C00221,P00366,ST00503,2026-03-08,1,616.92,0.02,604.58,Bkash,In-Store,Professional,Academic
SLS000033,S00572,C00385,P00512,ST00092,2024-05-26,2,519.43,0.07,966.14,Bkash,App,Professional,Programming
SLS000034,S00897,C00501,P00242,ST00722,2025-05-20,2,994.99,0.07,1850.68,Nagad,In-Store,Kids,Programming
SLS000035,S00856,C00086,P00081,ST00590,2025-06-26,1,273.3,0.02,267.83,Nagad,,Young,Children
SLS000036,S00515,C00913,P00410,ST00923,2026-04-03,1,837.45,0.06,787.2,Cash,App,Young,Programming
SLS000037,S00799,C00002,P00064,ST00465,2025-05-29,3,661.67,0.06,1865.91,Bkash,In-Store,Young,Programming
SLS000038,S00375,C00137,P00978,ST00906,2024-05-12,2,247.76,0.08,455.88,Card,Online,Professional,Self Help
SLS000039,S00922,C00007,P00447,ST00172,2025-11-12,1,769.37,0.11,684.74,Card,App,Young,Fiction
SLS000040,S00944,C00987,P00886,ST00195,2025-12-18,3,1100.78,0.06,3104.2,Rocket,Online,Young,Academic
SLS000041,S00384,C00406,P00951,ST00946,2026-01-19,3,172.28,0.03,501.33,Rocket,In-Store,Young,Children
SLS000042,S00752,C00193,P00449,ST00093,2024-05-14,1,759.89,0.11,676.3,Card,,Professional,Business
SLS000043,S00275,C00117,P00418,ST00226,2024-02-13,2,521.95,0.02,1023.02,Nagad,App,Young,Biography
SLS000044,S00636,C00368,P00895,ST00134,2025-01-17,2,843.59,0.12,1484.72,Card,App,Professional,Fiction
SLS000045,S00817,C00975,P00038,ST00705,2024-04-09,1,462.86,0.01,458.23,Cash,App,Young,Self Help
SLS000046,S00433,C00544,P00483,ST00776,2025-11-14,1,266.72,0.1,240.05,Nagad,Online,Young,Children
SLS000047,S00093,C00352,P00264,ST00895,2025-06-02,1,322.79,0.05,306.65,Nagad,In-Store,Young,Academic
SLS000048,S00833,C00360,P00756,ST00140,2024-10-08,2,230.93,0.19,374.11,Card,Online,Professional,Self Help
SLS000049,S00713,C00116,P00841,ST00309,2024-09-16,1,857.62,0.13,746.13,Nagad,Online,Young,Academic
SLS000050,S00617,C00512,P00621,ST00304,2025-02-05,2,165.73,0.09,301.63,Cash,App,Professional,Children
SLS000051,S00404,C00422,P00405,ST00973,2024-05-08,2,1034.7,0.15,1758.99,Bkash,Online,Kids,Exam Prep
SLS000052,S00525,C00731,P00555,ST00570,2025-01-06,1,1156.78,0.1,1041.1,Rocket,Online,Young,Exam Prep
SLS000053,S00789,C00189,P00574,ST00324,2025-07-15,3,1119.96,0.1,3023.89,Nagad,In-Store,Young,Business
SLS000054,S00034,C00136,P00637,ST00285,2025-02-15,2,550.75,0.05,1046.42,Bkash,In-Store,Young,Biography
SLS000055,S00024,C00579,P00922,ST00307,2025-03-11,2,540.22,0.11,961.59,Card,Online,Kids,Biography
SLS000056,S00557,C00745,P00246,ST00706,2026-01-09,4,369.01,0.01,1461.28,Nagad,In-Store,Young,Fiction
SLS000057,S00179,C00491,P00205,ST00530,2024-12-05,3,263.32,0.019999460446298814,774.16,Rocket,App,Young,Programming
SLS000058,S00543,C00796,P00196,ST00612,2024-04-21,1,190.96,0.01,189.05,Card,Online,Young,Children
SLS000059,S00506,C00846,P00702,ST00452,2024-06-04,1,1250.76,0.06,1175.71,Cash,App,Young,Business
SLS000060,S00125,C00919,P00906,ST00028,2026-02-08,4,174.79,0.11,622.25,Card,In-Store,Young,Children
SLS000061,S00368,C00374,P00326,ST00678,2024-05-19,3,554.86,0.06,1564.71,Bkash,Online,Young,Academic
SLS000062,S00275,C00906,P00418,ST00718,2025-10-09,2,521.95,0.09,949.95,Card,Online,Young,Biography
SLS000063,S00616,C00710,P00968,ST00168,2025-02-07,2,752.71,0.05,1430.15,Bkash,Online,Professional,Exam Prep
SLS000064,S00901,C00626,P00153,ST00640,2025-03-18,1,606.11,0.08,557.62,Card,In-Store,Young,Programming
SLS000065,S00868,C00549,P00882,ST00873,2026-03-02,1,1419.32,0.07,1319.97,Rocket,In-Store,Young,Business
SLS000066,S00994,C00018,P00958,ST00590,2026-01-04,2,648.19,0.06,1218.6,Card,Online,Young,Academic
SLS000067,S00773,C00556,P00803,ST00659,2024-06-02,2,1318.57,0.01,2610.77,,Online,Elderly,Business
SLS000068,S00370,C00783,P00336,ST00694,2026-02-09,4,791.86,0.04,3040.74,Rocket,App,Young,Self Help
SLS000069,S00415,C00988,P00659,ST00311,2024-10-13,2,1009.4,0.08,1857.3,Bkash,Online,Young,Academic
SLS000070,S00956,C00430,P00289,ST00146,2024-12-02,2,839.67,0.07,1561.79,Card,Online,Elderly,Academic
SLS000071,S00712,C00991,P00126,ST00454,2026-01-11,2,984.18,0.0,1968.36,Rocket,App,Young,Academic
SLS000072,S00256,C00169,P00115,ST00222,2024-05-13,4,813.93,0.02,3190.61,Bkash,Online,Young,Fiction
SLS000073,S00925,C00959,P00012,ST00678,2025-01-02,3,1241.11,0.08,3425.46,Bkash,In-Store,Young,Business
SLS000074,S00317,C00586,P00977,ST00710,2024-04-12,1,314.72,0.09,286.4,Cash,Online,Young,Academic
SLS000075,S00592,C00663,P00661,ST00011,2025-05-19,3,294.24,0.09,803.28,Card,Online,Young,Children
SLS000076,S00558,C00571,P00320,ST00952,2025-07-24,1,173.15,0.0,173.15,Bkash,Online,Professional,Children
SLS000077,S00794,C00982,P00578,ST00919,2025-06-03,2,324.32,0.02,635.67,Nagad,App,Professional,Academic
SLS000078,S00807,C00042,P00620,ST00125,2026-04-16,2,1194.39,0.04,2293.23,Rocket,In-Store,Young,Academic
SLS000079,S00811,C00406,P00188,ST00462,2025-09-26,2,208.5,0.14,358.62,Bkash,Online,Young,Religious
SLS000080,S00298,C00878,P00286,ST00200,2024-02-04,2,954.83,0.02,1871.47,Card,In-Store,Young,Fiction
SLS000081,S00298,C00167,P00546,ST00961,2024-07-03,3,219.75,0.09,599.92,Bkash,App,Young,Fiction
SLS000082,S00391,C00566,P00844,ST00550,2025-03-20,3,572.11,0.06,1613.35,Cash,In-Store,Young,Programming
SLS000083,S00260,C00518,P00136,ST00693,2025-02-12,3,801.49,0.06,2260.2,Cash,In-Store,Young,Religious
SLS000084,S00440,C00811,P00860,ST00977,2024-06-22,4,338.77,0.08,1246.67,Card,In-Store,Young,Fiction
SLS000085,S00767,C00920,P00612,ST00663,2025-04-16,3,1111.31,0.15,2833.84,Cash,Online,Young,Exam Prep
SLS000086,S00225,C00259,P00485,ST00868,2025-04-19,1,896.9,0.07,834.12,Cash,App,Young,Exam Prep
SLS000087,S00160,C00692,P00151,ST00229,2025-02-09,3,918.22,0.03,2672.02,Cash,In-Store,Young,Programming
SLS000088,S00422,C00543,P00549,ST00220,2026-02-03,1,517.64,0.02,507.29,,App,Young,Religious
SLS000089,S00696,C00663,P00353,ST00422,2024-12-05,1,640.11,0.04,614.51,Nagad,App,Young,Exam Prep
SLS000090,S00806,C00197,P00194,ST00875,2025-12-03,1,1007.78,0.06,947.31,Card,In-Store,Professional,Programming
SLS000091,S00868,C00272,P00882,ST00038,2025-09-15,2,1419.32,0.01,2810.25,Rocket,In-Store,Young,Business
SLS000092,S00802,C00545,P00458,ST00422,2026-05-17,1,741.01,0.07,689.14,Rocket,App,Elderly,Religious
SLS000093,S00042,C00003,P00087,ST00826,2025-07-22,3,667.12,0.06,1881.28,Nagad,In-Store,Young,Programming
SLS000094,S00905,C00719,P00299,ST00165,2025-03-08,3,359.03,0.04,1034.01,Card,App,Young,Fiction
SLS000095,S00024,C00161,P00187,ST00603,2024-01-01,3,711.05,0.05,2026.49,Card,,Young,Biography
SLS000096,S00638,C00935,P00939,ST00067,2025-08-15,3,897.49,0.12,2369.37,Bkash,Online,Young,Programming
SLS000097,S00084,C00864,P00240,ST00013,2026-03-13,1,440.97,0.06,414.51,Bkash,In-Store,Professional,Academic
SLS000098,S00259,C00624,P00501,ST00306,2025-06-16,2,361.08,0.07,671.61,Cash,In-Store,Professional,Fiction
SLS000099,S00473,C00894,P00749,ST00801,2025-09-14,3,860.83,0.06,2427.54,Card,Online,Young,Programming
SLS000100,S00696,C00987,P00165,ST00039,2026-03-25,1,1158.01,0.06,1088.53,Bkash,In-Store,Young,Exam Prep
SLS000101,S00225,C00777,P00438,ST00347,2026-05-11,3,857.82,0.14,2213.18,Nagad,,Young,Exam Prep
SLS000102,S00415,C00627,P00659,ST00722,2024-07-16,2,1009.4,0.11,1796.73,Card,Online,Young,Academic
SLS000103,S00290,C00446,P00885,ST00351,2024-08-07,1,347.1,0.01,343.63,Card,In-Store,Young,Academic
SLS000104,S00365,C00818,P00660,ST00463,2025-12-01,2,883.89,0.16,1484.94,Bkash,Online,Professional,Self Help
SLS000105,S00042,C00704,P00087,ST00485,2024-04-30,1,667.12,0.07,620.42,Nagad,In-Store,Young,Programming
SLS000106,S00558,C00469,P00320,ST00901,2026-01-01,1,173.15,0.04,166.22,Nagad,In-Store,Young,Children
SLS000107,S00768,C00493,P00351,ST00872,2024-05-13,2,487.93,0.09,888.03,Nagad,Online,Professional,Exam Prep
SLS000108,S00940,C00228,P00386,ST00058,2024-11-21,1,290.54,0.19,235.34,Bkash,Online,Young,Academic
SLS000109,S00967,C00794,P00941,ST00684,2026-01-31,2,265.06,0.18,434.7,,Online,Professional,Academic
SLS000110,S00709,C00881,P00040,ST00522,2024-05-02,1,631.08,0.08,580.59,Card,In-Store,Young,Religious
SLS000111,S00905,C00015,P00299,ST00338,2024-02-17,1,359.03,0.04,344.67,,In-Store,Professional,Fiction
SLS000112,S00717,C00112,P00489,ST00477,2025-11-08,2,224.48,0.06,422.02,Bkash,In-Store,Young,Fiction
SLS000113,S00407,C00992,P00093,ST00874,2025-12-24,1,1003.0,0.13,872.61,Nagad,Online,Professional,Programming
SLS000114,S00268,C00176,P00480,ST00767,2025-11-04,2,398.43,0.01,788.89,Bkash,In-Store,Professional,Programming
SLS000115,S00645,C00739,P00114,ST00552,2025-02-18,1,304.82,0.07,283.48,Bkash,App,Young,Fiction
SLS000116,S00123,C00476,P00842,ST00164,2025-11-12,1,675.28,0.06,634.76,Card,App,Young,Programming
SLS000117,S00630,C00517,P00266,ST00608,2025-09-09,2,865.74,0.07,1610.28,Bkash,In-Store,Young,Religious
SLS000118,S00521,C00108,P00521,ST00483,2024-12-03,1,829.53,0.12468320218877627,726.1,Card,Online,Professional,Academic
SLS000119,S00807,C00136,P00620,ST00426,2025-10-27,3,1194.39,0.19,2902.37,Card,Online,Young,Academic
SLS000120,S00842,C00574,P00304,ST00940,2024-06-21,1,1150.83,0.04,1104.8,Bkash,In-Store,Young,Exam Prep
SLS000121,S00768,C00374,P00351,ST00993,2025-01-13,1,487.93,0.1,439.14,Cash,Online,Young,Exam Prep
SLS000122,S00186,C00802,P00506,ST00948,2026-01-08,1,130.5,0.06,122.67,Card,In-Store,Young,Children
SLS000123,S00200,C00972,P00810,ST00734,2024-05-10,2,785.44,0.09,1429.5,Cash,Online,Professional,Academic
SLS000124,S00561,C00817,P00451,ST00586,2025-01-10,2,200.14,0.05,380.27,Cash,App,Professional,Fiction
SLS000125,S00944,C00401,P00487,ST00307,2025-07-04,1,1186.02,0.0406119766114592,1137.85,,In-Store,Professional,Academic
SLS000126,S00132,C00477,P00599,ST00943,2025-06-17,3,487.0,0.02,1431.78,Nagad,App,Young,Religious
SLS000127,S00950,C00156,P00425,ST00436,2026-05-04,2,1192.76,0.02,2337.81,Card,App,Professional,Exam Prep
SLS000128,S00661,C00695,P00729,ST00194,2025-08-13,4,882.46,0.08,3247.45,Cash,Online,Young,Fiction
SLS000129,S00214,C00445,P00005,ST00103,2024-01-23,3,930.27,0.05,2651.27,Card,In-Store,Young,Exam Prep
SLS000130,S00268,C00861,P00480,ST00836,2026-06-07,1,398.43,0.04,382.49,Card,App,Professional,Programming
SLS000131,S00366,C00652,P00923,ST00315,2024-07-21,1,413.07,0.15,351.11,Nagad,Online,Young,Programming
SLS000132,S00217,C00169,P00618,ST00761,2025-06-14,4,330.21,0.16,1109.51,Nagad,Online,Young,Religious
SLS000133,S00508,C00406,P00482,ST00616,2026-02-19,4,265.93,0.09,967.99,Nagad,Online,Young,Religious
SLS000134,S00259,C00677,P00774,ST00269,2025-06-26,1,586.69,0.07,545.62,Bkash,Online,Young,Fiction
SLS000135,S00792,C00861,P00391,ST00851,2024-03-03,2,740.92,0.08,1363.29,Nagad,In-Store,Professional,Biography
SLS000136,S00109,C00349,P00465,ST00846,2024-11-09,2,252.41,0.06,474.53,Card,Online,Professional,Children
SLS000137,S00989,C00670,P00200,ST00161,2024-01-10,3,377.55,0.1,1019.39,Nagad,Online,Young,Business
SLS000138,S00830,C00172,P00130,ST00114,2025-01-11,1,892.38,0.08,820.99,Bkash,In-Store,Professional,Biography
SLS000139,S00442,C00906,P00030,ST00588,2026-02-22,2,715.6,0.04,1373.95,Bkash,App,Young,Programming
SLS000140,S00647,C00572,P00736,ST00223,2024-08-18,2,772.14,0.11,1374.41,Nagad,Online,Professional,Religious
SLS000141,S00109,C00771,P00465,ST00318,2025-11-16,2,252.41,0.05744820267174507,475.82,Nagad,,Professional,Children
SLS000142,S00638,C00394,P00939,ST00932,2024-02-08,3,897.49,0.15,2288.6,Bkash,App,Young,Programming
SLS000143,S00582,C00943,P00183,ST00164,2024-08-14,2,810.91,0.04,1556.95,Rocket,Online,Young,Fiction
SLS000144,S00545,C00723,P00241,ST00452,2025-05-26,1,449.89,0.08,413.9,Bkash,In-Store,Professional,Children
SLS000145,S00335,C00151,P00641,ST00280,2026-05-13,1,433.68,0.12,381.64,Bkash,Online,Young,Business
SLS000146,S00639,C00546,P00060,ST00332,2025-07-06,1,531.5,0.06,499.61,Bkash,In-Store,Professional,Programming
SLS000147,S00232,C00272,P00499,ST00352,2025-09-28,4,439.91,0.04,1689.25,Nagad,App,Young,Fiction
SLS000148,S00827,C00837,P00129,ST00247,2025-11-20,1,385.4,0.004881724134294932,383.52,Rocket,Online,Kids,Children
SLS000149,S00124,C00786,P00168,ST00758,2024-04-16,3,294.23,0.05,838.56,Nagad,App,Kids,Children
SLS000150,S00766,C00488,P00508,ST00809,2026-05-06,2,552.29,0.07,1027.26,Card,Online,Young,Religious
SLS000151,S00840,C00300,P00568,ST00520,2025-02-15,1,1016.15,0.03,985.67,Bkash,App,Professional,Programming
SLS000152,S00013,C00855,P00213,ST00893,2024-10-02,3,879.2,0.03,2558.47,Card,,Young,Religious
SLS000153,S00049,C00853,P00267,ST00129,2026-02-11,2,503.94,0.07,937.33,Nagad,Online,Young,Religious
SLS000154,S00818,C00499,P00281,ST00490,2025-03-14,2,536.3,0.05983425845289681,1008.42,Rocket,App,Professional,Business
SLS000155,S00383,C00720,P00149,ST00830,2025-08-19,2,217.71,0.03,422.36,Nagad,In-Store,Professional,Children
SLS000156,S00478,C00283,P00965,ST00610,2024-11-26,1,469.4,0.18,384.91,Bkash,Online,Young,Fiction
SLS000157,S00122,C00347,P00697,ST00984,2025-06-07,3,529.26,0.04,1524.27,Card,In-Store,Young,Fiction
SLS000158,S00527,C00946,P00117,ST00581,2024-05-16,2,341.87,0.11,608.53,Bkash,Online,Young,Exam Prep
SLS000159,S00047,C00739,P00356,ST00958,2025-01-07,2,408.25,0.08,751.18,Card,App,Young,Academic
SLS000160,S00779,C00070,P00179,ST00092,2025-02-07,2,1062.81,0.02,2083.11,Rocket,Online,Young,Academic
SLS000161,S00591,C00455,P00233,ST00040,2024-08-09,1,334.3,0.03,324.27,Card,In-Store,Professional,Children
SLS000162,S00638,C00391,P00939,ST00341,2026-03-25,2,897.49,0.05,1705.23,Nagad,In-Store,Professional,Programming
SLS000163,S00197,C00229,P00143,ST00843,2025-07-01,2,495.44,0.08,911.61,Bkash,In-Store,Young,Academic
SLS000164,S00868,C00996,P00882,ST00046,2026-02-16,3,1419.32,0.12,3747.0,Nagad,In-Store,Young,Business
SLS000165,S00996,C00135,P00846,ST00240,2024-05-17,2,1178.98,0.16,1980.69,Rocket,Online,Young,Business
SLS000166,S00093,C00310,P00748,ST00984,2025-01-13,3,1003.73,0.05,2860.63,Bkash,In-Store,Young,Academic
SLS000167,S00863,C00852,P00493,ST00632,2025-12-24,3,209.78,0.03,610.46,Bkash,Online,Young,Children
SLS000168,S00902,C00131,P00255,ST00376,2024-05-25,1,721.13,0.04,692.28,Cash,In-Store,Professional,Academic
SLS000169,S00082,C00373,P00836,ST00074,2024-07-06,2,260.25,0.11589386022964085,460.18,Cash,Online,Young,Religious
SLS000170,S00432,C00635,P00839,ST00749,2026-04-04,3,1091.04,0.03,3174.93,Bkash,App,Young,Business
SLS000171,S00638,C00334,P00523,ST00920,2024-04-17,3,824.45,0.0,2473.35,Card,In-Store,Young,Programming
SLS000172,S00172,C00403,P00053,ST00736,2025-02-13,1,254.7,0.06,239.42,Bkash,In-Store,Young,Religious
SLS000173,S00888,C00546,P00197,ST00110,2024-03-05,1,1073.81,0.1,966.43,Card,,Professional,Programming
SLS000174,S00639,C00953,P00060,ST00512,2024-10-30,2,531.5,0.04,1020.48,Cash,App,Professional,Programming
SLS000175,S00103,C00874,P00186,ST00383,2025-12-28,4,566.97,0.03,2199.84,Nagad,In-Store,Young,Religious
SLS000176,S00768,C00112,P00504,ST00898,2024-11-20,2,1012.76,0.05,1924.24,Nagad,App,Young,Exam Prep
SLS000177,S00263,C00566,P00856,ST00757,2025-02-21,1,620.12,0.06,582.91,Rocket,Online,Young,Exam Prep
SLS000178,S00415,C00653,P00659,ST00796,2026-03-29,2,1009.4,0.06,1897.67,Card,In-Store,Young,Academic
SLS000179,S00687,C00321,P00605,ST00395,2024-12-22,3,1097.14,0.04,3159.76,Card,In-Store,Young,Academic
SLS000180,S01000,C00264,P00751,ST00027,2025-06-20,2,913.66,0.09,1662.86,Card,,Professional,Exam Prep
SLS000181,S00303,C00593,P00642,ST00755,2025-04-10,3,1165.27,0.04,3355.98,Rocket,Online,Young,Exam Prep
SLS000182,S00261,C00410,P00443,ST00622,2025-10-03,3,658.55,0.18,1620.03,Bkash,Online,Young,Self Help
SLS000183,S00800,C00907,P00821,ST00134,2026-01-12,2,264.39,0.04,507.63,Rocket,App,Elderly,Academic
SLS000184,S00936,C00162,P00309,ST00752,2026-02-25,1,712.22,0.13,619.63,Rocket,Online,Young,Religious
SLS000185,S00311,C00039,P00928,ST00141,2026-05-31,1,149.86,0.05,142.37,Card,In-Store,Young,Children
SLS000186,S00651,C00902,P00123,ST00735,2024-11-03,2,439.62,0.02,861.66,Bkash,Online,Young,Self Help
SLS000187,S00678,C00898,P00640,ST00708,2024-06-07,2,852.34,0.05,1619.45,Bkash,App,Professional,Fiction
SLS000188,S00493,C00412,P00497,ST00010,2024-06-16,2,125.14,0.04,240.27,Bkash,In-Store,Professional,Children
SLS000189,S00950,C00757,P00425,ST00769,2025-12-04,1,1192.76,0.12,1049.63,Rocket,,Young,Exam Prep
SLS000190,S00612,C00849,P00431,ST00389,2026-02-15,1,258.84,0.04,248.49,Cash,App,Young,Children
SLS000191,S00669,C00256,P00048,ST00490,2024-08-03,1,384.94,0.0,384.94,Nagad,Online,Young,Programming
SLS000192,S00543,C00654,P00755,ST00962,2025-03-05,2,131.8,0.06,247.78,Card,Online,Professional,Children
SLS000193,S00713,C00740,P00352,ST00913,2024-01-18,3,985.29,0.04,2837.64,Nagad,App,Young,Academic
SLS000194,S00069,C00354,P00473,ST00364,2025-06-01,3,622.81,0.17,1550.8,Card,Online,Young,Exam Prep
SLS000195,S00738,C00947,P00852,ST00705,2025-09-18,1,884.02,0.12,777.94,Bkash,Online,Young,Fiction
SLS000196,S00010,C00967,P00576,ST00496,2024-05-21,3,440.85,0.04,1269.65,Nagad,In-Store,Young,Academic
SLS000197,S00606,C00480,P00855,ST00822,2026-04-07,1,919.8,0.08,846.22,Bkash,Online,Professional,Self Help
SLS000198,S00298,C00074,P00144,ST00308,2026-02-08,2,727.41,0.08,1338.43,Rocket,App,Elderly,Fiction
SLS000199,S00029,C00922,P00278,ST00452,2026-05-05,4,302.07,0.01,1196.2,Nagad,App,Young,Fiction
SLS000200,S00987,C00518,P00228,ST00105,2026-04-17,4,504.48,0.05,1917.02,Cash,App,Young,Biography
SLS000201,S00149,C00137,P00889,ST00921,2024-03-14,1,574.27,0.06,539.81,Card,App,Professional,Biography
SLS000202,S00289,C00735,P00786,ST00894,2025-02-03,1,1188.18,0.07,1105.01,Card,App,Professional,Academic
SLS000203,S00432,C00686,P00839,ST00263,2025-01-15,2,1091.04,0.14,1876.59,Card,Online,Professional,Business
SLS000204,S00840,C00139,P00568,ST00570,2024-01-18,2,1016.15,0.01,2011.98,Card,In-Store,Professional,Programming
SLS000205,S00784,C00274,P00221,ST00362,2026-04-15,3,596.84,0.02,1754.71,Card,App,Young,Programming
SLS000206,S00269,C00868,P00376,ST00147,2024-01-25,1,744.29,0.03,721.96,Nagad,In-Store,Professional,Biography
SLS000207,S00422,C00969,P00549,ST00042,2025-09-13,1,517.64,0.06,486.58,Rocket,App,Professional,Religious
SLS000208,S00237,C00400,P00023,ST00823,2024-09-26,3,282.48,0.0,847.44,Cash,App,Young,Academic
SLS000209,S00335,C00134,P00641,ST00274,2025-06-17,2,433.68,0.12,763.28,Nagad,Online,Young,Business
SLS000210,S00700,C00350,P00857,ST00497,2025-03-15,4,408.42,0.0,1633.68,Card,In-Store,Young,Fiction
SLS000211,S00471,C00503,P00325,ST00896,2024-07-15,2,929.33,0.12,1635.62,Bkash,Online,Young,Self Help
SLS000212,S00232,C00299,P00686,ST00020,2025-01-21,4,903.36,0.11,3215.96,Card,App,Young,Fiction
SLS000213,S00268,C00608,P00480,ST00529,2025-09-24,3,398.43,0.08,1099.67,Card,App,Young,Programming
SLS000214,S00982,C00007,P00004,ST00954,2025-05-23,3,537.49,0.05102092449054005,1530.2,Bkash,In-Store,Young,Academic
SLS000215,S00818,C00821,P00281,ST00806,2024-07-19,3,536.3,0.13,1399.74,Nagad,Online,Young,Business
SLS000216,S00780,C00849,P00525,ST00208,2024-08-17,1,1131.93,0.09,1030.06,Bkash,Online,Young,Programming
SLS000217,S00305,C00787,P00728,ST00193,2025-09-13,2,391.63,0.08,720.6,Nagad,Online,Young,Exam Prep
SLS000218,S00244,C00301,P00399,ST00757,2024-07-06,1,767.77,0.0,767.77,Cash,In-Store,Young,Exam Prep
SLS000219,S00050,C00633,P00190,ST00076,2025-06-15,3,421.68,0.04,1214.44,Bkash,App,Young,Business
SLS000220,S00263,C00361,P00067,ST00587,2026-05-19,1,1062.59,0.12,935.08,Cash,Online,Kids,Exam Prep
SLS000221,S00358,C00386,P00718,ST00224,2025-05-28,3,1424.85,0.01,4231.8,Cash,In-Store,Young,Business
SLS000222,S00124,C00710,P00364,ST00840,2024-09-07,2,120.14,0.1,216.25,Card,App,Professional,Children
SLS000223,S00346,C00848,P00650,ST00362,2025-08-20,3,646.09,0.0,1938.27,Cash,App,Young,Fiction
SLS000224,S00286,C00835,P00222,ST00397,2026-04-25,3,300.84,0.07,839.34,Nagad,Online,Young,Business
SLS000225,S00364,C00229,P00757,ST00788,2025-08-02,1,277.66,0.1,249.89,Bkash,Online,Young,Children
SLS000226,S00755,C00657,P00343,ST00085,2025-05-25,3,313.85,0.12085147728333093,827.76,Bkash,Online,Young,Children
SLS000227,S00096,C00267,P00057,ST00589,2025-07-02,1,469.59,0.13,408.54,Cash,Online,Professional,Fiction
SLS000228,S00873,C00629,P00505,ST00960,2024-03-03,3,344.63,0.11,920.16,Card,Online,Kids,Fiction
SLS000229,S00647,C00363,P00736,ST00641,2024-01-22,2,772.14,0.05,1467.07,Bkash,In-Store,Kids,Religious
SLS000230,S00732,C00796,P00931,ST00079,2025-06-15,3,431.2,0.04,1241.86,Cash,In-Store,Young,Children
